"NEW.ID","CID","GROUP","BGD.MORALITY","BGD.TOTAL","BGD.SPECCODE","BGD.MORPROP","BGD.MORVIRTPROP","BGD.SPECPROP","RAG.ORDER","RAG.CHECK","DG.ORDER","DG.CHECK","CHILDREN","MAT","DIEPUN","OMNI.BG","MORINDEX","TYPE","SELF","RAG","Y"
1140,502,"Turkana",4,5,2,0.8,1,0.4,1,0,0,NA,6,0,1,1,3,"RAG.LOCAL",0,1,11
1140,502,"Turkana",4,5,2,0.8,1,0.4,1,0,0,NA,6,0,1,1,3,"RAG.SELF",1,1,10
1140,502,"Turkana",4,5,2,0.8,1,0.4,1,0,0,NA,6,0,1,1,3,"DG.LOCAL",0,0,NA
1140,502,"Turkana",4,5,2,0.8,1,0.4,1,0,0,NA,6,0,1,1,3,"DG.SELF",1,0,NA
1141,1823,"Hadza",1,2,0,0.5,0.5,0,1,NA,0,NA,1,0,0,1,NA,"RAG.LOCAL",0,1,12
1141,1823,"Hadza",1,2,0,0.5,0.5,0,1,NA,0,NA,1,0,0,1,NA,"RAG.SELF",1,1,11
1141,1823,"Hadza",1,2,0,0.5,0.5,0,1,NA,0,NA,1,0,0,1,NA,"DG.LOCAL",0,0,5
1141,1823,"Hadza",1,2,0,0.5,0.5,0,1,NA,0,NA,1,0,0,1,NA,"DG.SELF",1,0,3
1142,1985,"Lovu Fiji",4,4,2,1,1,0.5,1,0,0,NA,2,1,0.5,0.5,2.66666666666667,"RAG.LOCAL",0,1,7
1142,1985,"Lovu Fiji",4,4,2,1,1,0.5,1,0,0,NA,2,1,0.5,0.5,2.66666666666667,"RAG.SELF",1,1,19
1142,1985,"Lovu Fiji",4,4,2,1,1,0.5,1,0,0,NA,2,1,0.5,0.5,2.66666666666667,"DG.LOCAL",0,0,NA
1142,1985,"Lovu Fiji",4,4,2,1,1,0.5,1,0,0,NA,2,1,0.5,0.5,2.66666666666667,"DG.SELF",1,0,NA
1143,332,"Sursurunga",2,5,2,0.4,1,0.4,1,0,0,NA,7,0,1,1,2,"RAG.LOCAL",0,1,16
1143,332,"Sursurunga",2,5,2,0.4,1,0.4,1,0,0,NA,7,0,1,1,2,"RAG.SELF",1,1,6
1143,332,"Sursurunga",2,5,2,0.4,1,0.4,1,0,0,NA,7,0,1,1,2,"DG.LOCAL",0,0,NA
1143,332,"Sursurunga",2,5,2,0.4,1,0.4,1,0,0,NA,7,0,1,1,2,"DG.SELF",1,0,NA
1144,503,"Turkana",2,5,0,0.4,0.6,0,0,0,0,0,8,0,1,1,1.66666666666667,"RAG.LOCAL",0,1,12
1144,503,"Turkana",2,5,0,0.4,0.6,0,0,0,0,0,8,0,1,1,1.66666666666667,"RAG.SELF",1,1,14
1144,503,"Turkana",2,5,0,0.4,0.6,0,0,0,0,0,8,0,1,1,1.66666666666667,"DG.LOCAL",0,0,5
1144,503,"Turkana",2,5,0,0.4,0.6,0,0,0,0,0,8,0,1,1,1.66666666666667,"DG.SELF",1,0,2
1145,1824,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,0,1,1,NA,"RAG.LOCAL",0,1,NA
1145,1824,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,0,1,1,NA,"RAG.SELF",1,1,NA
1145,1824,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,0,1,1,NA,"DG.LOCAL",0,0,0
1145,1824,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,0,1,1,NA,"DG.SELF",1,0,0
1146,NA,"China-Christians",2,5,1,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1146,NA,"China-Christians",2,5,1,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1146,NA,"China-Christians",2,5,1,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1146,NA,"China-Christians",2,5,1,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1147,NA,"China-Christians",1,5,0,0.2,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.LOCAL",0,1,NA
1147,NA,"China-Christians",1,5,0,0.2,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAG.SELF",1,1,NA
1147,NA,"China-Christians",1,5,0,0.2,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.LOCAL",0,0,NA
1147,NA,"China-Christians",1,5,0,0.2,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG.SELF",1,0,NA
1148,1986,"Lovu Fiji",2,3,2,0.666666666666667,1,0.666666666666667,0,0,0,NA,1,1,1,1,3.66666666666667,"RAG.LOCAL",0,1,13
1148,1986,"Lovu Fiji",2,3,2,0.666666666666667,1,0.666666666666667,0,0,0,NA,1,1,1,1,3.66666666666667,"RAG.SELF",1,1,16
1148,1986,"Lovu Fiji",2,3,2,0.666666666666667,1,0.666666666666667,0,0,0,NA,1,1,1,1,3.66666666666667,"DG.LOCAL",0,0,NA
1148,1986,"Lovu Fiji",2,3,2,0.666666666666667,1,0.666666666666667,0,0,0,NA,1,1,1,1,3.66666666666667,"DG.SELF",1,0,NA
1149,333,"Sursurunga",4,5,1,0.8,0.8,0.2,0,NA,1,0,5,0,1,1,2,"RAG.LOCAL",0,1,NA
