CULTURE;LOCID;ORDER;BGD;BGD_GEN_AO;BGD_GEN_CS;BGD_GEN_AO_TB;BGD_GEN_CS_TB;DIS_BGD;BGD_GEN_TB;DIS_BGD_GEN_TB;BGD_SPEC_AO;BGD_SPEC_CS;;;;;;;;;;;;;;;;;;;;;
Turkana;310;4;dislike lying from people ;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Turkana;104;5;dislikes witching people.;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;106;4;dislikes adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;140;3;dislikes people who are greedy.;virtue;virtue;virtue;virtue;0;virtue;0;greed;greed;;;;;;;;;;;;;;;;;;;;;
Turkana;5;5;dislikes people with little faith.;religion;religion;religion;religion;0;religion;0;disbelief;faith.n;;;;;;;;;;;;;;;;;;;;;
Turkana;94;3;dislikes murderers;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;208;3;dislike hatred among the believers ;people;virtue;people;virtue;1;people;0;antagonism;hate;;;;;;;;;;;;;;;;;;;;;
Turkana;137;3;dislike gossip;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;102;2;dislike quarrelling ;morality;morality;morality;morality;0;morality;0;arguing;quarrel;;;;;;;;;;;;;;;;;;;;;
Turkana;36;1;dislike arrogant people;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;106;5;dislikes be-witching others;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;104;4;dislikes adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;95;1;dislikes thieves ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;153;4;dislike people who worship other gods ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Turkana;106;1;dislikes enviours people;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;208;2;dislike people who gossip about leaders in the church ;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;75;2;dislike those who are not humble ;virtue;virtue;virtue;virtue;0;virtue;0;pride;humility;;;;;;;;;;;;;;;;;;;;;
Turkana;208;1;dislikes people who commit adultery ;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;114;1;god dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Mauritius;DS1715;4;play with prayer;ritual;ritual;ritual;ritual;0;ritual;0;blasphemy;prayer;;;;;;;;;;;;;;;;;;;;;
Mauritius;DS1588;1;doesn’t know, believes only in Ganesh;D/K;D/K;D/K;D/K;0;D/K;0;D/K;D/K;;;;;;;;;;;;;;;;;;;;;
Congo;1180;4;covetousness;virtue;morality;virtue;morality;1;virtue;0;greed;jealousy;;;;;;;;;;;;;;;;;;;;;
Samburu;2080102;4;if you say you believe but you don't;religion;virtue;religion;morality;1;religion;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Mauritius;DN1061;4;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Turkana;235;2;dislike being rude to parents ;etiquette;morality;etiquette;morality;1;etiquette;0;disrespecting family;respect.n;;;;;;;;;;;;;;;;;;;;;
Turkana;173;2;dislike fighting one another ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;46;3;fighting ;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;177;4;dislike people who do not share what they have with others (mean people);morality;morality;morality;morality;0;morality;0;selfish;helpful;;;;;;;;;;;;;;;;;;;;;
Turkana;327;3;dislike people who worship local Gods ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Turkana;177;2;dislike people who are thieves ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;128;4;covet other people's properties;virtue;morality;virtue;morality;1;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;212;2;stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;70;5;dislike witchcraft ;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;332;3;dislike people to do sacrifices to dead people ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;sacrifice.n;;;;;;;;;;;;;;;;;;;;;
Turkana;228;2;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;56;5;dislike people to steal ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;13;2;stealing  others property;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;170;3;stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Turkana;283;4;dislike witchcraft ;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;232;5;dislike if somebody is selfish ;morality;virtue;morality;virtue;1;virtue;0;selfish;egoism;;;;;;;;;;;;;;;;;;;;;
Turkana;31;2;Dislike people to fight;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;216;5;Dislike muerder ;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Turkana;180;5;dsilike people who abuse others;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;31;3;dislike people to gossip;morality;etiquette;morality;etiquette;1;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Turkana;41;1;dislike selfishness ;morality;virtue;morality;virtue;1;virtue;0;selfish;egoism;;;;;;;;;;;;;;;;;;;;;
Turkana;39;3;dislike rape cases ;morality;morality;morality;morality;0;morality;0;raping;rape;;;;;;;;;;;;;;;;;;;;;
Turkana;111;1;dislikes curses;morality;etiquette;morality;etiquette;1;specific;1;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;37;1;dislike people to worship idols ;ritual;ritual;ritual;ritual;0;ritual;0;idolatry;idolatry;;;;;;;;;;;;;;;;;;;;;
Turkana;178;1;dislike arrogancy ;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;181;5;dislike rape ;morality;morality;morality;morality;0;morality;0;raping;rape;;;;;;;;;;;;;;;;;;;;;
Turkana;200;2;dislike adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;270;3;dislike those who are against believers(his people);morality;people;morality;miscellaneous;1;people;1;immoral behaviour;discrimination;;;;;;;;;;;;;;;;;;;;;
Samburu;2690102;1;drunkards;substance use/abuse;substance use;substance use/abuse;virtue;1;substance use/abuse;0;drunkenness;alcohol;;;;;;;;;;;;;;;;;;;;;
Turkana;91;5;dislike chasing strangers;morality;morality;morality;morality;0;morality;0;inhospitality;discrimination;;;;;;;;;;;;;;;;;;;;;
Turkana;36;3;dislike witchcraft;morality;specific;morality;specific;1;specific;0;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Turkana;221;5;dislike stealing ;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Samburu;2930101;2;jealousy of other peoples' things;virtue;virtue;virtue;ritual;1;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Mauritius;DR1786;4;dark nights;miscellaneous;miscellaneous;miscellaneous;miscellaneous;0;miscellaneous;0;darkness;darkness;;;;;;;;;;;;;;;;;;;;;
Samburu;2310201;1;circulating rumours;morality;morality;morality;morality;0;morality;0;gossip;gossip.n;;;;;;;;;;;;;;;;;;;;;
Samburu;2550201;1;adulterers;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Samburu;2150102;2;murderers;morality;morality;morality;specific;1;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Samburu;2150102;3;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Sursurunga;17;1;adultery;morality;morality;morality;virtue;1;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Samburu;2290102;5;DK;D/K;D/K;D/K;people;1;D/K;0;D/K;D/K;;;;;;;;;;;;;;;;;;;;;
China-Christians;993218;2;Fake testimony;morality;religion;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Congo;1054;1;prostitution;morality;morality;morality;morality;0;morality;0;prostitution;prostitution;;;;;;;;;;;;;;;;;;;;;
Congo;1180;2;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Congo;1036;1;critique;morality;etiquette;morality;etiquette;1;morality;0;critique;critique;;;;;;;;;;;;;;;;;;;;;
Congo;1071;5;adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Congo;1044;2;murder;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Congo;1034;3;adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Congo;1114;1;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Congo;1183;2;badness;virtue;morality;virtue;morality;1;morality;0;evil;good actions.n;;;;;;;;;;;;;;;;;;;;;
Congo;1127;3;lying;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Congo;1107;3;murder;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Mysore;C25;2;egotistical people;morality;virtue;morality;virtue;1;virtue;0;selfish;egoism;;;;;;;;;;;;;;;;;;;;;
Mysore;C50;3;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Mysore;C20;2;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Mauritius;DN1848;5;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Mysore;D62;4;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Mysore;C23;3;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Mysore;D63;3;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Mysore;D75;2;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Turkana;2;2;dislike commiting adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Turkana;254;3;dislike people who mistreat strangers ;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;219;2;being selfish;morality;virtue;morality;virtue;1;virtue;0;selfish;egoism;;;;;;;;;;;;;;;;;;;;;
Turkana;231;2;dislike mistreating of strangers ;morality;morality;morality;morality;0;morality;0;mistreatment;mistreating others;;;;;;;;;;;;;;;;;;;;;
Turkana;180;1;dislike people who be-witch others ;morality;specific;morality;specific;1;specific;0;bewitching;witching;;;;;;;;;;;;;;;;;;;;;
China-Buddhists;210110;2;destroy the environment;ecology;ecology;ecology;ecology;0;ecology;0;environmental damage;pollution.n;;;;;;;;;;;;;;;;;;;;;
Peru;1166;2;Ambitious people;virtue;virtue;virtue;virtue;0;virtue;0;ambition;responsible;;;;;;;;;;;;;;;;;;;;;
Peru;1499;4;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Peru;1039;2;When people torture a thief;morality;morality;morality;morality;0;morality;0;torture;violence;;;;;;;;;;;;;;;;;;;;;
Congo;1128;1;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
China-Christians;660485;3;Being selfish;morality;virtue;morality;virtue;1;virtue;0;selfish;egoism;;;;;;;;;;;;;;;;;;;;;
Samburu;2020102;3;liars;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Congo;1193;3;violence;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Turkana;17;4;dislike arrogancy.;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Turkana;70;3;dislike arrogancy ;virtue;virtue;virtue;virtue;0;virtue;0;arrogance;arrogance;;;;;;;;;;;;;;;;;;;;;
Mauritius;DR1779;1;jelaousy;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
China-Buddhists;804226;4;greedy, aversion {?}, silly, hold greedy thoughts;miscellaneous;virtue;miscellaneous;NA;1;virtue;1;miscellaneous;greed;;;;;;;;;;;;;;;;;;;;;
China-Buddhists;754525;3;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
China-Buddhists;598566;2;silly {?};virtue;virtue;virtue;virtue;0;virtue;0;absurdity;silly;;;;;;;;;;;;;;;;;;;;;
Mauritius;DR1452;5;jelaousy;virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Peru;1118;3;Fights;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Peru;1068;2;To sin;morality;morality;morality;morality;0;morality;0;sinning;sin;;;;;;;;;;;;;;;;;;;;;
Mauritius;DR1702;2;wrong deeds;morality;morality;morality;morality;0;morality;0;immoral behaviour;good actions.n;;;;;;;;;;;;;;;;;;;;;
Peru;1119;1;Argues;morality;morality;morality;morality;0;morality;0;arguing;quarrel;;;;;;;;;;;;;;;;;;;;;
Peru;1111;2;Stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Mauritius;DN1728;1;Bad people;virtue;morality;virtue;morality;1;morality;0;evil;good actions.n;;;;;;;;;;;;;;;;;;;;;
Congo;1076;5;adultery;morality;morality;morality;morality;0;morality;0;adultery;adultery;;;;;;;;;;;;;;;;;;;;;
Peru;1114;1;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Peru;1167;1;Doesn't like that we make others cry;morality;morality;morality;morality;0;morality;0;immoral behaviour;good actions.n;;;;;;;;;;;;;;;;;;;;;
Peru;1083;3;Lying;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Peru;1038;1;Stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Peru;1010;3;Argue;morality;morality;morality;morality;0;morality;0;arguing;quarrel;;;;;;;;;;;;;;;;;;;;;
Peru;1022;1;arguments, insults;morality;morality;morality;morality;0;morality;0;arguing;quarrel;;;;;;;;;;;;;;;;;;;;;
Peru;1095;5;Forget about god;religion;virtue;religion;religion;0;religion;0;disbelief;worship.n;;;;;;;;;;;;;;;;;;;;;
Peru;1119;2;Give envious looks (miramientos);virtue;virtue;virtue;virtue;0;virtue;0;envy;jealousy;;;;;;;;;;;;;;;;;;;;;
Turkana;230;4;a witch ;morality;specific;specific;specific;0;specific;0;witches;witching;;;;;;;;;;;;;;;;;;;;;
Peru;1087;1;Killing;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Samburu;2040101;2;stealing;morality;morality;morality;morality;0;morality;0;theft;theft;;;;;;;;;;;;;;;;;;;;;
Sursurunga;208;1;swearing;etiquette;etiquette;etiquette;etiquette;0;etiquette;0;swearing;swearing;;;;;;;;;;;;;;;;;;;;;
Sursurunga;73;1;NA;NA;NA;NA;morality;1;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Peru;1117;2;Not lying;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Samburu;3000101;4;witchcraft;morality;specific;morality;miscellaneous;1;specific;1;witchcraft;witching;;;;;;;;;;;;;;;;;;;;;
Samburu;2250101;4;gossip;morality;etiquette;morality;morality;0;morality;0;gossip;gossip;;;;;;;;;;;;;;;;;;;;;
Mysore;C19;4;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
Peru;1042;1;Killing each other;morality;morality;morality;morality;0;morality;0;killing;murder;;;;;;;;;;;;;;;;;;;;;
Mauritius;DN1742;5;Liars and cheaters;morality;morality;morality;morality;0;morality;0;dishonesty;truthfulness.n;;;;;;;;;;;;;;;;;;;;;
Mauritius;DN1307;3;Injustice;morality;people;morality;people;1;morality;0;injustice;justice.n;;;;;;;;;;;;;;;;;;;;;
Mauritius;DR1431;1;violence;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Mauritius;DS1325;4;abouse him;morality;miscellaneous;morality;religion;1;miscellaneous;1;blasphemy;miscellaneous;;;;;;;;;;;;;;;;;;;;;
Peru;1166;1;When we fight each other;morality;morality;morality;morality;0;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Samburu;2930101;5;if you are violent;morality;morality;morality;virtue;1;morality;0;violence;violence;;;;;;;;;;;;;;;;;;;;;
Mysore;C8;2;NA;NA;NA;NA;NA;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;;;;;
